Time;el_load;prec;temp;rhum;grad;pres;wind;Vel_tviz;Bal_tviz;holiday;weekend;covid
2015-01-01 00:00:00;4270.718;0.0;-9.251456310679611;75.98039215686275;0.0;1038.0243243243244;1.3232323232323229;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 01:00:00;4068.94;0.0;-8.54368932038835;75.17647058823529;0.0;1037.8540540540541;1.480808080808081;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 02:00:00;3754.788;0.0;-7.906796116504855;73.97058823529412;0.0;1037.5513513513513;1.6454545454545453;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 03:00:00;3510.361;0.0;-7.561165048543689;73.5;0.0;1037.2432432432433;1.7686868686868689;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 04:00:00;3426.489;0.0;-7.304854368932039;72.92156862745098;0.0;1036.662162162162;1.8040404040404039;-0.2;-0.2;1.0;0.0;0.0
2015-01-01 05:00:00;3437.634;0.0;-7.049514563106795;72.59803921568627;0.0;1036.4135135135136;1.868686868686869;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 06:00:00;3496.357;0.0;-6.728155339805825;72.13725490196079;0.0;1036.3108108108108;1.829292929292929;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 07:00:00;3545.462;0.0;-6.416504854368932;72.04901960784314;1.4241379310344826;1036.5081081081082;1.8505050505050504;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 08:00:00;3671.223;0.0;-5.962135922330098;70.72549019607843;10.63448275862069;1036.8243243243244;1.8111111111111111;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 09:00:00;3876.873;0.0;-5.402912621359223;69.2843137254902;20.099999999999998;1037.0243243243242;1.916161616161616;-0.1;-0.3;1.0;0.0;0.0
2015-01-01 10:00:00;4066.546;0.000980392156862745;-4.800970873786408;67.97058823529412;37.07586206896551;1036.9648648648647;2.064646464646465;-0.2;-0.2;1.0;0.0;0.0
2015-01-01 11:00:00;4221.09;0.0029411764705882357;-4.28252427184466;68.01960784313725;45.46071428571428;1036.3945945945945;2.1444444444444444;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 12:00:00;4284.748;0.00196078431372549;-3.876699029126214;68.56862745098039;39.668965517241375;1035.945945945946;2.1303030303030304;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 13:00:00;4219.587;0.00784313725490196;-3.594174757281553;69.7843137254902;29.5448275862069;1035.6999999999998;2.045454545454546;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 14:00:00;4232.311;0.008823529411764706;-3.4980582524271844;71.33333333333333;17.551724137931036;1035.8513513513512;1.9909090909090912;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 15:00:00;4279.476;0.00980392156862745;-3.5359223300970872;74.12745098039215;6.241379310344827;1035.981081081081;1.9212121212121211;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 16:00:00;4585.471;0.006862745098039216;-3.6582524271844656;76.45098039215686;0.23448275862068968;1036.0756756756757;1.829292929292929;-0.1;0.0;1.0;0.0;0.0
2015-01-01 17:00:00;4667.629;0.0068627450980392165;-3.65631067961165;78.07843137254902;0.0;1036.2351351351351;1.7757575757575759;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 18:00:00;4632.648;0.0;-3.5961165048543693;79.37254901960785;0.0;1036.237837837838;1.6808080808080805;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 19:00:00;4608.264;0.00196078431372549;-3.525242718446602;80.26470588235294;0.0;1036.0864864864864;1.6525252525252525;-0.1;-0.1;1.0;0.0;0.0
2015-01-01 20:00:00;4513.026;0.000980392156862745;-3.466990291262136;81.97058823529412;0.0;1035.9378378378378;1.6949494949494948;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 21:00:00;4384.193;0.0;-3.466990291262136;83.04901960784314;0.0;1035.9324324324325;1.7171717171717171;-0.2;-0.1;1.0;0.0;0.0
2015-01-01 22:00:00;4205.88;0.0;-3.4815533980582525;83.84313725490196;0.0;1035.8054054054055;1.6383838383838383;-0.2;-0.2;1.0;0.0;0.0
2015-01-01 23:00:00;4002.069;0.000980392156862745;-3.537864077669903;85.07843137254902;0.0;1035.3675675675677;1.6606060606060604;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 00:00:00;3755.599;0.0;-3.7165048543689316;86.1078431372549;0.0;1035.0702702702704;1.6161616161616161;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 01:00:00;3631.633;0.00196078431372549;-3.76504854368932;86.79411764705883;0.0;1034.7837837837837;1.5565656565656567;-0.1;-0.2;1.0;0.0;0.0
2015-01-02 02:00:00;3426.112;0.0;-3.801941747572816;87.44117647058823;0.0;1034.745945945946;1.5949494949494951;-0.2;-0.2;1.0;0.0;0.0
2015-01-02 03:00:00;3328.085;0.0;-3.8640776699029127;88.42156862745098;0.0;1034.0702702702704;1.707070707070707;-0.2;-0.2;1.0;0.0;0.0
2015-01-02 04:00:00;3360.408;0.0;-3.9543689320388347;89.33333333333333;0.0;1033.2810810810809;1.8282828282828285;-0.3;-0.3;1.0;0.0;0.0
2015-01-02 05:00:00;3549.028;0.0;-4.034951456310679;90.17647058823529;0.0;1032.8648648648648;1.9000000000000006;-0.3;-0.2;1.0;0.0;0.0
2015-01-02 06:00:00;3840.257;0.0;-4.053398058252427;90.67647058823529;0.0;1032.7594594594593;1.8454545454545457;-0.2;-0.2;1.0;0.0;0.0
2015-01-02 07:00:00;4089.308;0.0;-3.907766990291262;90.92156862745098;1.6896551724137931;1032.8837837837837;1.884848484848485;-0.2;-0.3;1.0;0.0;0.0
2015-01-02 08:00:00;4329.023;0.0;-3.4932038834951453;90.26470588235294;14.117241379310345;1032.8648648648648;1.8434343434343432;-0.2;-0.3;1.0;0.0;0.0
2015-01-02 09:00:00;4591.808;0.0;-2.7446601941747577;88.5;30.9551724137931;1032.6243243243246;2.0606060606060606;-0.1;-0.2;1.0;0.0;0.0
2015-01-02 10:00:00;4737.294;0.0029411764705882357;-2.0019417475728156;86.34313725490196;45.25172413793103;1032.172972972973;2.285858585858586;-0.2;-0.1;1.0;0.0;0.0
2015-01-02 11:00:00;4839.796;0.0;-1.270873786407767;84.59803921568627;54.07586206896552;1031.245945945946;2.5262626262626267;-0.1;-0.2;1.0;0.0;0.0
2015-01-02 12:00:00;4889.985;0.0;-0.6844660194174758;83.46078431372548;57.8448275862069;1030.0756756756757;2.724242424242424;-0.2;-0.1;1.0;0.0;0.0
2015-01-02 13:00:00;4787.627;0.0;-0.2475728155339806;82.99019607843137;48.755172413793105;1029.1378378378379;2.7515151515151515;-0.2;-0.1;1.0;0.0;0.0
2015-01-02 14:00:00;4740.106;0.0;-0.04757281553398062;83.04901960784314;31.70689655172414;1028.4405405405407;2.7585858585858594;-0.2;0.0;1.0;0.0;0.0
2015-01-02 15:00:00;4758.437;0.0;-0.2563106796116505;84.88235294117646;11.551724137931032;1028.0;2.6565656565656566;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 16:00:00;5056.652;0.016666666666666666;-0.7000000000000001;87.79411764705883;0.36551724137931035;1027.7432432432433;2.4606060606060605;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 17:00:00;5140.073;0.08529411764705881;-0.8116504854368931;89.66666666666667;0.0;1027.3918918918919;2.524242424242424;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 18:00:00;5065.103;0.22549019607843138;-0.7262135922330099;91.43137254901961;0.0;1027.4972972972973;2.525252525252525;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 19:00:00;5008.128;0.2627450980392157;-0.4854368932038835;92.90196078431373;0.0;1027.5162162162164;2.4212121212121214;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 20:00:00;4847.815;0.2215686274509804;-0.1407766990291262;93.24509803921569;0.0;1027.37027027027;2.493939393939394;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 21:00:00;4681.27;0.08823529411764706;0.2213592233009709;93.42156862745098;0.0;1027.745945945946;2.6535353535353536;-0.1;-0.1;1.0;0.0;0.0
2015-01-02 22:00:00;4455.684;0.02450980392156863;0.5398058252427185;93.09803921568627;0.0;1027.889189189189;2.7949494949494955;0.0;-0.1;1.0;0.0;0.0
2015-01-02 23:00:00;4241.558;0.018627450980392157;0.7310679611650487;92.57843137254902;0.0;1027.8945945945945;2.738383838383838;-0.1;-0.1;1.0;0.0;0.0
2015-01-03 00:00:00;3964.682;0.008823529411764707;0.7864077669902912;91.82352941176471;0.0;1027.6351351351352;2.801010101010101;-0.1;-0.1;0.0;1.0;0.0
2015-01-03 01:00:00;3812.328;0.000980392156862745;0.6718446601941748;90.69607843137256;0.0;1027.8945945945948;2.9545454545454546;-0.1;-0.1;0.0;1.0;0.0
2015-01-03 02:00:00;3605.987;0.017647058823529415;0.5883495145631069;89.22549019607843;0.0;1028.3135135135135;3.1969696969696964;0.0;0.0;0.0;1.0;0.0
2015-01-03 03:00:00;3499.725;0.00980392156862745;0.6524271844660193;86.79411764705883;0.0;1028.1783783783785;3.5424242424242416;-0.1;-0.1;0.0;1.0;0.0
2015-01-03 04:00:00;3514.933;0.000980392156862745;0.6310679611650486;85.08823529411765;0.0;1028.254054054054;3.445454545454546;0.0;0.0;0.0;1.0;0.0
2015-01-03 05:00:00;3656.616;0.00196078431372549;0.6398058252427183;83.34313725490196;0.0;1028.5891891891893;3.3111111111111113;-0.1;0.0;0.0;1.0;0.0
2015-01-03 06:00:00;3887.978;0.0029411764705882357;0.6728155339805826;81.97058823529412;0.0;1029.2054054054056;3.137373737373737;-0.1;0.1;0.0;1.0;0.0
2015-01-03 07:00:00;4067.203;0.00196078431372549;0.662135922330097;81.75490196078431;1.9586206896551723;1029.67027027027;3.152525252525252;-0.1;0.0;0.0;1.0;0.0
2015-01-03 08:00:00;4282.289;0.013725490196078433;1.0825242718446602;80.49019607843137;18.56896551724138;1029.6567567567567;3.2707070707070707;-0.1;0.1;0.0;1.0;0.0
2015-01-03 09:00:00;4514.455;0.019607843137254898;1.9029126213592233;78.50980392156863;49.162068965517236;1029.3135135135135;3.471717171717172;-0.1;0.2;0.0;1.0;0.0
2015-01-03 10:00:00;4638.719;0.011764705882352941;3.0941747572815537;74.55882352941177;86.3;1028.8891891891892;3.741414141414141;-0.1;0.2;0.0;1.0;0.0
2015-01-03 11:00:00;4737.729;0.00196078431372549;4.06504854368932;70.32352941176471;97.62758620689657;1028.1189189189188;4.110101010101009;0.0;0.2;0.0;1.0;0.0
2015-01-03 12:00:00;4788.035;0.016666666666666666;4.546601941747573;68.98039215686275;93.24137931034483;1027.1162162162163;4.112121212121212;0.0;0.2;0.0;1.0;0.0
2015-01-03 13:00:00;4678.836;0.00392156862745098;4.6058252427184465;68.38235294117646;66.5551724137931;1025.837837837838;3.7343434343434336;0.1;0.2;0.0;1.0;0.0
2015-01-03 14:00:00;4635.841;0.000980392156862745;4.199029126213592;70.19607843137256;36.099999999999994;1024.8108108108108;3.1424242424242426;0.2;0.2;0.0;1.0;0.0
2015-01-03 15:00:00;4662.986;0.0;3.4058252427184463;73.40196078431373;11.541379310344825;1023.8972972972972;2.7373737373737375;0.2;0.1;0.0;1.0;0.0
